rank,title,slug,subscribers,url,category,rpm,score
865,"Вузы",vuzy,2632,https://dzen.ru/topic/vuzy,Другое,2,74
866,"Катерина Ковальчук",katerina-kovalchuk,2632,https://dzen.ru/topic/katerina-kovalchuk,Другое,2,74
867,"Гольф",golf,2590,https://dzen.ru/topic/golf,Другое,2,74
868,"Цветоводство",cvetovodstvo,2583,https://dzen.ru/topic/cvetovodstvo,Другое,2,74
869,"Ландшафтный дизайн и обустройство участка",landshaftnyj-dizajn-i-obustrojstvo-uchastka,2520,https://dzen.ru/topic/landshaftnyj-dizajn-i-obustrojstvo-uchastka,Другое,2,74
870,"Касым-Жомарт Токаев",kasym-zhomart-tokaev,2498,https://dzen.ru/topic/kasym-zhomart-tokaev,Другое,2,74
871,"Магистратура",magistratura,2498,https://dzen.ru/topic/magistratura,Другое,2,74
872,"Радуга",raduga,2461,https://dzen.ru/topic/raduga,Другое,2,74
873,"Книги о животных",knigi-o-zhivotnykh,2461,https://dzen.ru/topic/knigi-o-zhivotnykh,Животные,2,74
874,"Огородные и садовые вредители",ogorodnye-i-sadovye-vrediteli,2457,https://dzen.ru/topic/ogorodnye-i-sadovye-vrediteli,Дача,2,74
875,"Пари Фест",pari-fest,2450,https://dzen.ru/topic/pari-fest,Другое,2,74
876,"Far Cry 5 Gold Edition",far-cry-5-gold-edition,2436,https://dzen.ru/topic/far-cry-5-gold-edition,Другое,2,74
877,"Grand Theft Auto: Vice City",grand-theft-auto-vice-city,2422,https://dzen.ru/topic/grand-theft-auto-vice-city,Другое,2,74
878,"Инвентарь и техника для дачи",inventar-i-tekhnika-dlya-dachi,2422,https://dzen.ru/topic/inventar-i-tekhnika-dlya-dachi,Дача,2,74
879,"Луков день",lukov-den-20-sentyabrya,2383,https://dzen.ru/topic/lukov-den-20-sentyabrya,Другое,2,74
880,"Воздуходувка",vozdukhoduvka,2383,https://dzen.ru/topic/vozdukhoduvka,Другое,2,74
881,"My Summer Car",my-summer-car,2310,https://dzen.ru/topic/my-summer-car,Другое,2,74
882,"Экипировка для фитнеса",ehkipirovka,2275,https://dzen.ru/topic/ehkipirovka,Спорт,2,74
883,"Блюда из рыбы",blyuda-iz-ryby,2272,https://dzen.ru/topic/blyuda-iz-ryby,Другое,2,74
884,"Зоологи",zoologi,2272,https://dzen.ru/topic/zoologi,Другое,2,74
885,"Марина Леонидовна Кравец",marina-kravec,2247,https://dzen.ru/topic/marina-kravec,Другое,2,74
886,"Галереи современного искусства",galerei-sovremennogo-iskusstva,2175,https://dzen.ru/topic/galerei-sovremennogo-iskusstva,Другое,2,74
887,"Керлинг",kerling,2100,https://dzen.ru/topic/kerling,Другое,2,74
888,"Семейные праздники",semeynye_prazdniki,2086,https://dzen.ru/topic/semeynye_prazdniki,Другое,2,74
889,"Острова",ostrova,2085,https://dzen.ru/topic/ostrova,Другое,2,74
890,"Синий трактор",siniy-traktor,2085,https://dzen.ru/topic/siniy-traktor,Другое,2,74
891,"Михаил Лермонтов",mihail-lermontov,2072,https://dzen.ru/topic/mihail-lermontov,Другое,2,74
892,"Кай Метов",kaj-metov,2072,https://dzen.ru/topic/kaj-metov,Другое,2,74
893,"История Азии",istoriya-azii,2049,https://dzen.ru/topic/istoriya-azii,История,2,74
894,"Вареные блюда",varenye-blyuda,2048,https://dzen.ru/topic/varenye-blyuda,Другое,2,74
895,"Сеялка",seyalka,2048,https://dzen.ru/topic/seyalka,Другое,2,74
896,"Афанасий Фет",afanasij-fet,1995,https://dzen.ru/topic/afanasij-fet,Другое,2,74
897,"Cемейный досуг и развлечения",cemejnyj-dosug-i-razvlecheniya,1945,https://dzen.ru/topic/cemejnyj-dosug-i-razvlecheniya,Другое,2,74
898,"Смешанные единоборства (ММА)",mma,1945,https://dzen.ru/topic/mma,Другое,2,74
899,"Николай Гоголь",nikolaj-gogol,1925,https://dzen.ru/topic/nikolaj-gogol,Другое,2,74
900,"Teardown",teardown-2,1911,https://dzen.ru/topic/teardown-2,Другое,2,74
901,"Куда поехать на выходные",kuda-poekhat-na-vykhodnye,1897,https://dzen.ru/topic/kuda-poekhat-na-vykhodnye,Другое,2,74
902,"Культура разных стран мира",kulturnye-raznyh-stran-mira,1889,https://dzen.ru/topic/kulturnye-raznyh-stran-mira,Другое,2,74
903,"Minecraft: Story Mode",minecraft-story-mode-complete,1862,https://dzen.ru/topic/minecraft-story-mode-complete,Другое,2,74
904,"Социология",sociologiya,1834,https://dzen.ru/topic/sociologiya,Другое,2,74
905,"Watch Dogs",watch-dogs,1799,https://dzen.ru/topic/watch-dogs,Другое,2,74
906,"Спортивная экипировка",sportivnaya-ehkipirovka,1736,https://dzen.ru/topic/sportivnaya-ehkipirovka,Спорт,2,74
907,"Виталий Гогунский",vitalij-gogunskij,1736,https://dzen.ru/topic/vitalij-gogunskij,Другое,2,74
908,"Быстрые рецепты в микроволновке",bystrye-recepty-v-mikrovolnovke,1729,https://dzen.ru/topic/bystrye-recepty-v-mikrovolnovke,Еда,2,74
909,"Дина Саева (Исроилова Мадина Ихромидиновна)",dina-saeva,1680,https://dzen.ru/topic/dina-saeva,Другое,2,74
910,"Вычеты",vychety,1659,https://dzen.ru/topic/vychety,Другое,2,74
911,"System Shock (Remake)",system-shock,1561,https://dzen.ru/topic/system-shock,Другое,2,74
912,"Иван Тургенев",ivan-sergeevich-turgenev,1498,https://dzen.ru/topic/ivan-sergeevich-turgenev,Другое,2,74
913,"Куда поехать весной",kuda_poekhat_vesnoy,1491,https://dzen.ru/topic/kuda_poekhat_vesnoy,Другое,2,74
914,"Plants vs. Zombies Garden Warfare 2",plants-vs-zombies-garden-warfare-2,1491,https://dzen.ru/topic/plants-vs-zombies-garden-warfare-2,Другое,2,74
915,"Михаил Шолохов",mihail-sholohov,1477,https://dzen.ru/topic/mihail-sholohov,Другое,2,74
916,"Владимир Ленин",vladimir-lenin,1470,https://dzen.ru/topic/vladimir-lenin,Другое,2,74
917,"Гарик Сукачёв",garik-sukachyov,1463,https://dzen.ru/topic/garik-sukachyov,Другое,2,74
